sample_name	library_ID	title	library_strategy	library_source	library_selection	library_layout	platform	instrument_model	design_description	filetype	filename	filename2
LR15-s2-D	LR15-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR15-s2-D_R1.fastq.gz	LR15-s2-D_R2.fastq.gz
LR17-s2-D	LR17-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR17-s2-D_R1.fastq.gz	LR17-s2-D_R2.fastq.gz
LR18-s2-D	LR18-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR18-s2-D_R1.fastq.gz	LR18-s2-D_R2.fastq.gz
LR19-s2-D	LR19-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR19-s2-D_R1.fastq.gz	LR19-s2-D_R2.fastq.gz
LR20-s2-D	LR20-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR20-s2-D_R1.fastq.gz	LR20-s2-D_R2.fastq.gz
LRH04-s2-D	LRH04-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LRH04-s2-D_R1.fastq.gz	LRH04-s2-D_R2.fastq.gz
LRH07-s2-D	LRH07-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LRH07-s2-D_R1.fastq.gz	LRH07-s2-D_R2.fastq.gz
LRH08-s2-D	LRH08-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LRH08-s2-D_R1.fastq.gz	LRH08-s2-D_R2.fastq.gz
LRH09-s2-D	LRH09-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LRH09-s2-D_R1.fastq.gz	LRH09-s2-D_R2.fastq.gz
LRH10-s2-D	LRH10-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LRH10-s2-D_R1.fastq.gz	LRH10-s2-D_R2.fastq.gz
M01-s2-D	M01-s2-D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M01-s2-D_R1.fastq.gz	M01-s2-D_R2.fastq.gz
M02-s2-D	M02-s2-D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M02-s2-D_R1.fastq.gz	M02-s2-D_R2.fastq.gz
M03-s2-D	M03-s2-D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M03-s2-D_R1.fastq.gz	M03-s2-D_R2.fastq.gz
M04-s2-D	M04-s2-D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M04-s2-D_R1.fastq.gz	M04-s2-D_R2.fastq.gz
M05-s2-D	M05-s2-D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M05-s2-D_R1.fastq.gz	M05-s2-D_R2.fastq.gz
M06-s2-D	M06-s2-D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M06-s2-D_R1.fastq.gz	M06-s2-D_R2.fastq.gz
M07-s2-D	M07-s2-D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M07-s2-D_R1.fastq.gz	M07-s2-D_R2.fastq.gz
M08-s2-D	M08-s2-D	16S rRNA (V4) amplicon sequencing of Estuary bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	M08-s2-D_R1.fastq.gz	M08-s2-D_R2.fastq.gz
PR01-s2-D	PR01-s2-D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR01-s2-D_R1.fastq.gz	PR01-s2-D_R2.fastq.gz
PR03-s2-D	PR03-s2-D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR03-s2-D_R1.fastq.gz	PR03-s2-D_R2.fastq.gz
PR05-s2-D	PR05-s2-D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR05-s2-D_R1.fastq.gz	PR05-s2-D_R2.fastq.gz
PR07-s2-D	PR07-s2-D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR07-s2-D_R1.fastq.gz	PR07-s2-D_R2.fastq.gz
PR09-s2-D	PR09-s2-D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR09-s2-D_R1.fastq.gz	PR09-s2-D_R2.fastq.gz
PR11-s2-D	PR11-s2-D	16S rRNA (V4) amplicon sequencing of Stream bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	PR11-s2-D_R1.fastq.gz	PR11-s2-D_R2.fastq.gz
RO201-s2-D	RO201-s2-D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO201-s2-D_R1.fastq.gz	RO201-s2-D_R2.fastq.gz
RO203-s2-D	RO203-s2-D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO203-s2-D_R1.fastq.gz	RO203-s2-D_R2.fastq.gz
RO205-s2-D	RO205-s2-D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO205-s2-D_R1.fastq.gz	RO205-s2-D_R2.fastq.gz
RO206-s2-D	RO206-s2-D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO206-s2-D_R1.fastq.gz	RO206-s2-D_R2.fastq.gz
RO207-s2-D	RO207-s2-D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO207-s2-D_R1.fastq.gz	RO207-s2-D_R2.fastq.gz
RO208-s2-D	RO208-s2-D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO208-s2-D_R1.fastq.gz	RO208-s2-D_R2.fastq.gz
RO209-s2-D	RO209-s2-D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO209-s2-D_R1.fastq.gz	RO209-s2-D_R2.fastq.gz
RO213-s2-D	RO213-s2-D	16S rRNA (V4) amplicon sequencing of Reservoir bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	RO213-s2-D_R1.fastq.gz	RO213-s2-D_R2.fastq.gz
SLR01-s2-D	SLR01-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SLR01-s2-D_R1.fastq.gz	SLR01-s2-D_R2.fastq.gz
SLR02-s2-D	SLR02-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SLR02-s2-D_R1.fastq.gz	SLR02-s2-D_R2.fastq.gz
SLR04-s2-D	SLR04-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SLR04-s2-D_R1.fastq.gz	SLR04-s2-D_R2.fastq.gz
SPR01-s2-D	SPR01-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR01-s2-D_R1.fastq.gz	SPR01-s2-D_R2.fastq.gz
SPR02-s2-D	SPR02-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR02-s2-D_R1.fastq.gz	SPR02-s2-D_R2.fastq.gz
SPR03-s2-D	SPR03-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR03-s2-D_R1.fastq.gz	SPR03-s2-D_R2.fastq.gz
SPR05-s2-D	SPR05-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR05-s2-D_R1.fastq.gz	SPR05-s2-D_R2.fastq.gz
SPR06-s2-D	SPR06-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR06-s2-D_R1.fastq.gz	SPR06-s2-D_R2.fastq.gz
SPR07-s2-D	SPR07-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR07-s2-D_R1.fastq.gz	SPR07-s2-D_R2.fastq.gz
SPR08-s2-D	SPR08-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR08-s2-D_R1.fastq.gz	SPR08-s2-D_R2.fastq.gz
SPR09-s2-D	SPR09-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR09-s2-D_R1.fastq.gz	SPR09-s2-D_R2.fastq.gz
SPR10-s2-D	SPR10-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR10-s2-D_R1.fastq.gz	SPR10-s2-D_R2.fastq.gz
SPR04-s2-D	SPR04-s2-D	16S rRNA (V4) amplicon sequencing of Soil bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SPR04-s2-D_R1.fastq.gz	SPR04-s2-D_R2.fastq.gz
SWLR01-s2-D	SWLR01-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWLR01-s2-D_R1.fastq.gz	SWLR01-s2-D_R2.fastq.gz
SWLR02-s2-D	SWLR02-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWLR02-s2-D_R1.fastq.gz	SWLR02-s2-D_R2.fastq.gz
SWLR03-s2-D	SWLR03-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWLR03-s2-D_R1.fastq.gz	SWLR03-s2-D_R2.fastq.gz
SWLR04-s2-D	SWLR04-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWLR04-s2-D_R1.fastq.gz	SWLR04-s2-D_R2.fastq.gz
SWPR01-s2-D	SWPR01-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR01-s2-D_R1.fastq.gz	SWPR01-s2-D_R2.fastq.gz
SWPR02-s2-D	SWPR02-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR02-s2-D_R1.fastq.gz	SWPR02-s2-D_R2.fastq.gz
SWPR03-s2-D	SWPR03-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR03-s2-D_R1.fastq.gz	SWPR03-s2-D_R2.fastq.gz
SWPR04-s2-D	SWPR04-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR04-s2-D_R1.fastq.gz	SWPR04-s2-D_R2.fastq.gz
SWPR05-s2-D	SWPR05-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR05-s2-D_R1.fastq.gz	SWPR05-s2-D_R2.fastq.gz
SWPR06-s2-D	SWPR06-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR06-s2-D_R1.fastq.gz	SWPR06-s2-D_R2.fastq.gz
SWPR07-s2-D	SWPR07-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR07-s2-D_R1.fastq.gz	SWPR07-s2-D_R2.fastq.gz
SWPR08-s2-D	SWPR08-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR08-s2-D_R1.fastq.gz	SWPR08-s2-D_R2.fastq.gz
SWPR09-s2-D	SWPR09-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR09-s2-D_R1.fastq.gz	SWPR09-s2-D_R2.fastq.gz
SWPR10-s2-D	SWPR10-s2-D	16S rRNA (V4) amplicon sequencing of Soilwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	SWPR10-s2-D_R1.fastq.gz	SWPR10-s2-D_R2.fastq.gz
WELL1-s2-D	WELL1-s2-D	16S rRNA (V4) amplicon sequencing of Groundwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	WELL1-s2-D_R1.fastq.gz	WELL1-s2-D_R2.fastq.gz
WELL2-s2-D	WELL2-s2-D	16S rRNA (V4) amplicon sequencing of Groundwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	WELL2-s2-D_R1.fastq.gz	WELL2-s2-D_R2.fastq.gz
WELL3-s2-D	WELL3-s2-D	16S rRNA (V4) amplicon sequencing of Groundwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	WELL3-s2-D_R1.fastq.gz	WELL3-s2-D_R2.fastq.gz
WELL4-s2-D	WELL4-s2-D	16S rRNA (V4) amplicon sequencing of Groundwater bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	WELL4-s2-D_R1.fastq.gz	WELL4-s2-D_R2.fastq.gz
L321D	L321D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L321D_R1.fastq.gz	L321D_R2.fastq.gz
L322D	L322D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L322D_R1.fastq.gz	L322D_R2.fastq.gz
L323D	L323D	16S rRNA (V4) amplicon sequencing of Pond bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L323D_R1.fastq.gz	L323D_R2.fastq.gz
L324D	L324D	16S rRNA (V4) amplicon sequencing of Pond bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L324D_R1.fastq.gz	L324D_R2.fastq.gz
L325D	L325D	16S rRNA (V4) amplicon sequencing of Pond bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L325D_R1.fastq.gz	L325D_R2.fastq.gz
L326D	L326D	16S rRNA (V4) amplicon sequencing of Pond bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L326D_R1.fastq.gz	L326D_R2.fastq.gz
L327D	L327D	16S rRNA (V4) amplicon sequencing of Pond bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	L327D_R1.fastq.gz	L327D_R2.fastq.gz
LR24-s2-D	LR24-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR24-s2-D_R1.fastq.gz	LR24-s2-D_R2.fastq.gz
LR27-s2-D	LR27-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR27-s2-D_R1.fastq.gz	LR27-s2-D_R2.fastq.gz
LR29-s2-D	LR29-s2-D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR29-s2-D_R1.fastq.gz	LR29-s2-D_R2.fastq.gz
LR31D	LR31D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR31D_R1.fastq.gz	LR31D_R2.fastq.gz
LR32D	LR32D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR32D_R1.fastq.gz	LR32D_R2.fastq.gz
LR34D	LR34D	16S rRNA (V4) amplicon sequencing of River bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR34D_R1.fastq.gz	LR34D_R2.fastq.gz
LR35D	LR35D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR35D_R1.fastq.gz	LR35D_R2.fastq.gz
LR36D	LR36D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR36D_R1.fastq.gz	LR36D_R2.fastq.gz
LR37D	LR37D	16S rRNA (V4) amplicon sequencing of Lake bacterioplankton community	AMPLICON	METAGENOMIC	PCR	paired	ILLUMINA	Illumina MiSeq	Conducted by Genome Quebec	fastq	LR37D_R1.fastq.gz	LR37D_R2.fastq.gz
